pid	qid1	qid2	question1	question2	is_duplicate
1	1	2	hello, i click in product received	I bought a product and have not received a confirmation email	0
3	5	6	Hello! I have closed the dispute on may 21, 2017 and says that the refund will be made. When will be refunded the money?	I did not get refund of my money. Two months have passed. When will return money?	0
5	9	10	l ordered from spain to spain now they send the order from china?	My order came but color different from that I ordered.	0
7	13	14	Do I need to pay custom duty	How to pay customs duty	1
9	17	18	I didn't receive my order?	My order shows that I have not paid, but I did	0
11	21	22	Hi Eva. At first the question. Can I write in german?	How can I write feedback for the goods?	0
13	25	26	I am so angry	I opened a dispute and so far nothing	0
15	29	30	I am not able to open dispute	I am not able to track.	0
17	33	34	how can I check order number?	Where I can see the number of my order tracker?	0
19	37	38	No, I need an answer from you.	I need an invoice for this item i bought from you	0
21	41	42	how to reply to dispute	How do I reply to feedback?	0
23	45	46	I DONT NOT LIVE IN CHINA, I LIVE BRAZIL	i want live contact now	0
25	49	50	What does it mean: Your order will be closed in?	tracking order what does collection mean	0
27	53	54	how to exchange coins	How to change my coins for coupon?	1
29	57	58	how do I report a fraud seller	I want to report seller	1
31	61	62	Hi I want to buy something but seller have to adjust price, my system goes automatically and does not allow for seller to adjust please help	hi i need to tell u something about my order	0
33	65	66	How do I know whether my order has been shipped	How can I know if my order was shipped?	1
35	69	70	i cancelled my order with the seller already	I have already paid for my order	0
37	9	73	l ordered from spain to spain now they send the order from china?	I'm a supplier from china	0
39	75	76	I want to do shopping how to buy	i will come to see you tomorrow	0
41	79	80	Hi, I live in Canada and I'm currently tracking my package and the status says it has arrived in destination country but it says it is in Istanbul. Was my package sent to the wrong country?	When can I receive my package after the product is sent out?	0
43	83	84	The promotion began, but why the price of product did not change	Why the promotion price is not changed?	1
45	87	88	the color number was L	How can l see my message	0
47	91	92	i have done done all tracking	I have a dispute and the company has done nothing to resolve the problem	0
49	95	96	My forms and documents are not going	When am I going to receive my orders?	0
51	99	100	how to place order	How do I place order?	1
53	103	104	impossible to join contact customer support	how can I contact customer support?	1
55	75	107	I want to do shopping how to buy	What is shopping cart?	0
57	29	109	I am not able to open dispute	I am not able to attach a photo for a dispute	0
59	111	112	my order isn't being processed	My debit card is not being accepted	0
61	115	116	Please, the term of the purchase protection is over, can you return my money? Do I have to wait for the dispute? The error was in sending the site, the merchandise was not sent to Brazil. Thank you.	How do you return money if the goods are not received?	1
63	119	120	You haven't signed in, or your previous session has expired. Please sign in again.	Why it says The supplier has sent you a message in your order?	0
65	123	124	is your site secure	my supplier has disappeared from your site	0
67	127	128	i have just receive email saying that i have to return the battery and pay the return postage in order to get a refund, its not my fault receiving the wrong item therefore seller have to send me a return lebel	I received an email saying I have a message for my order but there is not one.	0
69	131	132	ok please contact me with other people	Can I contact other buyers?	0
71	135	136	how to delete messages in app	How to delete cookies?	0
73	139	140	cancel my order	My seller will not cancel my order.	0
75	143	144	dear i have pay very huge amount but i dont have proper feedback	How do I check a seller if they have no feedback?	0
77	147	148	it's been 32 days i dont see any update on my order	Why I do not see any records of my order?	0
79	151	152	how do I extend buyer protection?	How do I become eligible for buyer protection?	0
81	155	156	Hi I like to know if a seller needs me to send back, how does she refund me the delivery fees plus cost of the dress as I am using Singapore registered mail?	It is to expensive for me to send the good back	1
83	159	160	how do i place order?	How do I track my order?	0
85	163	164	could help me	talk to me	0
87	167	2	I have never bought anything	I bought a product and have not received a confirmation email	0
89	169	170	How to upload picture	I cannot upload documents.	1
91	173	174	I want more wide walking shoes, width to be E, EE, EEE, EEEE	I want to be unsubscribed from all e-mails	0
93	177	178	its take too long time	how long will shipping take	0
95	181	182	i cannot pay using bank transfer	I am trying to make a payment by bank transfer but I cannot	1
97	185	186	Hello money i want to do what i have to do what i have to do	What guarantees do I have for buying here?	0
99	189	190	I put in for the authorization and it was approved but it still wont work	When will refund be approved and when will I receive it.	0
101	193	194	how to open dispute in app	How can I open dispute if order complete?	0
103	197	198	please read above	How can I read the feedback written about me?	0
105	201	202	how to cancel the dispute?	How do I cancel a dispute?	1
107	205	206	The seller advertise wrong price	the seller has sent the goods in the wrong index	0
109	209	210	recover app coins	How do I recover an order deleted by mistake?	0
111	213	214	I can not use a coupon or get discount.	How can i get the discount	0
113	217	218	i need to find my payment information	i need some information about Western Union payment	0
115	221	222	did not receive my refund	Why did not I receive refund?	1
117	225	226	I deal for refund and return the product. The menu is too expensive that I send goods to China. Who bears the cost of transport of goods?	Can I send my goods to China?	0
119	229	230	i want to be seller	I want a full refund but seller will not agree	0
121	233	234	other orders arrived in time	not arrived item	1
123	237	238	my concern is to know the progress of my order.	i want to know how my order is?	1
125	241	242	how to set my currency	How Currency Converter	0
127	245	246	I want the money as soon as I will not try again or buy anything from you	Do you offer shipping information if I buy from you?	0
129	249	250	Hello. I reached out for customer service 3 times now.	I pressed Pay Now button 3 times. What can I do?	0
131	253	254	and reason is due to security reason they have suspended my account	how to check dispute reason	0
133	135	257	how to delete messages in app	how to delete paid order	0
135	259	260	how to upload evidence on dispute	i do not know how to upload pictures	0
137	263	264	Can I chat a person? Robot eva is not getting it	can i chat with a real person	1
139	267	268	I need change may email because I don't localize my email and I need to buy	i need your email address	0
141	271	272	Hello! Good night. I need your help for.. I can not issue a ticket to pay an account	I need your help Anna	0
143	275	276	please clear the cookies in your browser?	Please give me your e-mail support for your site	0
145	279	280	I do not know the problem	i do not know your website	0
147	283	284	and me too	The shipping fee is too high for me	0
149	287	288	how to search good seller	How to clear my search history?	0
151	291	292	i have paid for my product	I have paid	1
153	295	296	how to link my card?	I did not receive a verification link in my email	0
155	299	300	how to open dispute	How to open case?	0
157	303	304	you are not giving me right answer :I need top ten items wich sold in 2017	You won't answer me.	0
159	307	308	I wanna buy something product but I dont know how to pay money	I wanna pay the seller	1
161	311	312	how to leave feedback to the seller	How to leave an anonymous feedback?	0
163	315	316	how do i see coupon	How do I get a coupon	0
165	319	320	when my pay will cancelled	When will I receive my refund for cancelled order?	0
167	323	324	Submitted my appeal 4 days ago and I didnt have any answer	I sent money 3 days ago and the status do not changed	0
169	327	328	I was charged for an item I thought I purchased but never received it and can't find a trace of in on my orders	I have never received the product purchased	0
171	331	332	I have ordered with an incorrect email address	I have entered incorrect delivery address	0
173	335	336	I want to change the size	i want to know size at brazil	0
175	339	340	how can I report fraud seller	I received an email with notice that seller is suspected of fraud issue.	0
177	343	344	unable to find the address	unable to get response from seller	0
179	347	348	I don't have a tracking number. I am trying to place an order	I am trying to order and it is not working	1
181	351	352	If your order shows 'Canceled order', means	I paid an order but it is still shows the same status	0
183	355	356	read my question before answer pls	I want to read feedback written about my order	0
185	359	360	So where can I FOUND COUPONS I EXCHANGED? WHERE ARE THEY?	Where I can see my coupons?	1
187	363	364	but i use ATM	If I want to use a coupon	0
189	367	368	fast shipping courier	you talk too fast	0
191	371	372	how to find reliable seller	Can I find verified seller?	0
193	375	376	someone else know vietnamese?? I wanna oder	I wanna know about Western Union process to purchase	0
195	379	380	how do i use select coupon	How do I select currency?	0
197	383	384	i need to talk to human being please	i want to talk to a human online	1
199	387	388	how do I place order	How do I cancel Frozen Order?	0
201	249	391	Hello. I reached out for customer service 3 times now.	Until now I still have not reached my order	0
203	393	394	Unable to open an account	Sorry, your account has been flagged for some reasons and you are unable to participate in this promotion.	0
205	397	398	i submit my appeal and nothing happens	I cannot submit my dispute form	0
207	401	402	i am not receiving purchase protection order email	I can not extend the protection time of an order	0
209	405	406	what time is it in China?	What is processing time?	0
211	409	410	Need you to confirm my credit card	I saved my credit card but I need to replace it with a new one	0
213	413	414	do u have a phone number	do you have a phone number	1
215	417	418	Hi Upon contact now there was an icon chat now on the left hand side of the page now is not anymore	When I click pay now, it is taking me to sign in page.	0
217	421	422	dispute time is over	My processing time is over and I want to extend.	0
219	425	426	I want to shipped order all at once	I would like to pay for all the item at once	0
221	429	430	i am fine	i am in	0
223	433	434	turn me back to operator	how to turn buyer account to seller account?	0
225	437	438	a colleague said he would be restored	I paid for an order but it said that is still waiting payment	0
227	441	442	is this a fucking computer?	are you a person or a computer?	1
229	445	446	How do I check if a seller reliable?	How do I check my coupon?	0
231	449	450	contact the seller?	I cannot contact the seller	0
233	401	453	i am not receiving purchase protection order email	Can my purchase protection be extended?	0
235	455	456	after I placed my order, I was told that there would be additional shipping because I changed my address. Well, I did not change my address. But, I paid the additional charges to see what	I wanna change my shipping address for logistics order	0
237	459	460	Hello, I have not been able to pay for some articles because it tells me that there is an error that I try later. can you help me	I have written seller different ways, but he still ignore me	0
239	463	464	the seller changed the shipping method?	How can I change shipping method?	0
241	467	468	I need top ten items which sold in 2017 in high	In which situation will I be refunded?	0
243	471	472	I want to confirm that I received the merchandise and I'm happy with it but i can't log in	I need to receive merchandise soon.	0
245	475	476	so i was buying a case	I want to extend buying protection	0
247	479	480	can i order on company name?	I will never order from this company again	0
249	483	484	Hi. I want to send mail to sales manager. I need the email address.	I need the email address for this company	0
251	487	488	if my order product place in europe, and i want at it come to finland. Must i pay tax	I want to place an order.	0
253	491	492	I have problem with you guys	i have a problem with an order	1
255	495	496	how to change price	How do you know the price?	0
