pid	qid1	qid2	question1	question2	is_duplicate
2	3	4	hola, hago clic en el producto recibido	Compré un producto y no he recibido un correo electrónico de confirmación	0
4	7	8	¡Hola! Cerré la disputa el 21 de mayo de 2017 y dice que se realizará el reembolso. ¿Cuándo se reembolsará el dinero?	No obtuve el reembolso de mi dinero. Han pasado dos meses. ¿Cuándo devolverá dinero?	0
6	11	12	Ordené de España a España ahora que mandan el pedido de China?	Mi pedido llegó pero el color es diferente al que pedí.	0
8	15	16	¿Debo pagar impuestos personalizados?	Cómo pagar los derechos de aduana	1
10	19	20	No recibí mi pedido?	Mi pedido muestra que no he pagado, pero lo hice	0
12	23	24	Hola Eva Al principio la pregunta. ¿Puedo escribir en alemán?	¿Cómo puedo escribir comentarios para los productos?	0
14	27	28	estoy tan enojado	Abrí una disputa y hasta ahora nada	0
16	31	32	No puedo abrir una disputa	No puedo rastrear.	0
18	35	36	¿Cómo puedo verificar el número de pedido?	¿Dónde puedo ver el número de mi rastreador de pedidos?	0
20	39	40	No, necesito una respuesta tuya.	Necesito una factura por este artículo que te compré	0
22	43	44	cómo responder a una disputa	¿Cómo respondo a los comentarios?	0
24	47	48	NO VIVO EN CHINA, VIVO BRASIL	quiero contacto en vivo ahora	0
26	51	52	¿Qué significa: su orden será cerrada?	orden de seguimiento qué significa colección	0
28	55	56	cómo intercambiar monedas	¿Cómo cambiar mis monedas por cupón?	1
30	59	60	¿Cómo informo a un vendedor de fraude?	Quiero informar al vendedor	1
32	63	64	Hola, quiero comprar algo, pero el vendedor tiene que ajustar el precio, mi sistema funciona automáticamente y no permite que el vendedor se ajuste, por favor ayuda	hola necesito decirte algo sobre mi orden	0
34	67	68	¿Cómo puedo saber si mi pedido ha sido enviado?	¿Cómo puedo saber si mi pedido fue enviado?	1
36	71	72	cancelé mi pedido con el vendedor ya	Ya pagué mi pedido	0
38	11	74	Ordené de España a España ahora que mandan el pedido de China?	Soy un proveedor de china	0
40	77	78	Quiero hacer compras cómo comprar	vendré a verte mañana	0
42	81	82	Hola, vivo en Canadá y actualmente estoy rastreando mi paquete y el estado dice que ha llegado al país de destino pero dice que está en Estambul. ¿Mi paquete fue enviado al país equivocado?	¿Cuándo puedo recibir mi paquete después de enviar el producto?	0
44	85	86	La promoción comenzó, pero ¿por qué el precio del producto no cambió?	¿Por qué el precio de la promoción no se cambia?	1
46	89	90	el número de color era L	¿Cómo puedo ver mi mensaje?	0
48	93	94	He hecho todo el seguimiento	Tengo una disputa y la compañía no ha hecho nada para resolver el problema	0
50	97	98	Mis formularios y documentos no van	¿Cuándo recibiré mis pedidos?	0
52	101	102	cómo hacer un pedido	¿Cómo hago el pedido?	1
54	105	106	imposible unirse a la atención al cliente de contacto	¿Cómo puedo contactar al servicio de atención al cliente?	1
56	77	108	Quiero hacer compras cómo comprar	¿Qué es un carrito de compras?	0
58	31	110	No puedo abrir una disputa	No puedo adjuntar una foto para una disputa	0
60	113	114	mi pedido no está siendo procesado	Mi tarjeta de débito no está siendo aceptada	0
62	117	118	Por favor, el plazo de la protección de compra ha terminado, ¿puede devolver mi dinero? ¿Tengo que esperar la disputa? El error fue al enviar el sitio, la mercancía no fue enviada a Brasil. Gracias.	¿Cómo devuelves dinero si los bienes no se reciben?	1
64	121	122	No has iniciado sesión o tu sesión anterior ha expirado. Por favor, inicia sesión de nuevo.	¿Por qué dice que el proveedor le ha enviado un mensaje en su pedido?	0
66	125	126	es tu sitio seguro	mi proveedor ha desaparecido de su sitio	0
68	129	130	Acabo de recibir un correo electrónico que dice que tengo que devolver la batería y pagar el franqueo de devolución para obtener un reembolso, no es mi culpa recibir el artículo incorrecto, por lo tanto, el vendedor debe enviarme un mensaje de vuelta.	Recibí un correo electrónico diciendo que tengo un mensaje para mi pedido, pero no hay ninguno.	0
70	133	134	ok por favor contáctame con otras personas	¿Puedo contactar a otros compradores?	0
72	137	138	cómo eliminar mensajes en la aplicación	¿Cómo eliminar las cookies?	0
74	141	142	cancelar mi orden	Mi vendedor no cancelará mi pedido.	0
76	145	146	querida, tengo que pagar una gran cantidad, pero no tengo los comentarios adecuados	¿Cómo consulto a un vendedor si no tiene comentarios?	0
78	149	150	han pasado 32 días y no veo ninguna actualización en mi pedido	¿Por qué no veo ningún registro de mi pedido?	0
80	153	154	¿cómo extiendo la protección del comprador?	¿Cómo puedo ser elegible para la protección del comprador?	0
82	157	158	Hola, me gustaría saber si un vendedor necesita que le envíe de vuelta, ¿cómo me reembolsa las tarifas de envío más el costo del vestido, ya que estoy usando el correo registrado en Singapur?	Es caro para mí enviar el bien de vuelta	1
84	161	162	¿cómo hago el pedido?	¿Cómo realizo un seguimiento de mi pedido?	0
86	165	166	podría ayudarme	Háblame	0
88	168	4	Nunca he comprado nada	Compré un producto y no he recibido un correo electrónico de confirmación	0
90	171	172	Cómo subir una foto	No puedo subir documentos	1
92	175	176	Quiero zapatos más anchos para caminar, el ancho debe ser E, EE, EEE, EEEE	Quiero ser cancelado de todos los correos electrónicos	0
94	179	180	toma demasiado tiempo	cuánto tiempo tardará el envío	0
96	183	184	No puedo pagar con transferencia bancaria	Estoy tratando de hacer un pago por transferencia bancaria, pero no puedo	1
98	187	188	Hola, dinero, quiero hacer lo que tengo que hacer, lo que tengo que hacer	¿Qué garantías tengo para comprar aquí?	0
100	191	192	Puse la autorización y se aprobó, pero todavía no funciona	Cuándo se aprobará el reembolso y cuándo lo recibiré.	0
102	195	196	cómo abrir una disputa en la aplicación	¿Cómo puedo abrir una disputa si la orden está completa?	0
104	199	200	por favor lea arriba	¿Cómo puedo leer los comentarios escritos sobre mí?	0
106	203	204	cómo cancelar la disputa?	¿Cómo cancelo una disputa?	1
108	207	208	El vendedor anuncia un precio incorrecto	el vendedor ha enviado las mercancías en el índice incorrecto	0
110	211	212	recuperar monedas de la aplicación	¿Cómo recupero un pedido eliminado por error?	0
112	215	216	No puedo usar un cupón u obtener descuento.	¿Cómo puedo obtener el descuento?	0
114	219	220	Necesito encontrar mi información de pago	Necesito información sobre el pago de Western Union	0
116	223	224	no recibí mi reembolso	¿Por qué no recibí el reembolso?	1
118	227	228	Trato el reembolso y devuelvo el producto. El menú es demasiado caro y envío productos a China. ¿Quién soporta el costo del transporte de bienes?	¿Puedo enviar mis productos a China?	0
120	231	232	quiero ser vendedor	Quiero un reembolso completo, pero el vendedor no estará de acuerdo	0
122	235	236	otras órdenes llegaron a tiempo	artículo no llegado	1
124	239	240	mi preocupación es conocer el progreso de mi pedido.	quiero saber cómo es mi pedido?	1
126	243	244	cómo configurar mi moneda	Cómo el convertidor de moneda	0
128	247	248	Quiero el dinero tan pronto como no lo intente de nuevo o compre algo de usted	¿Ofrecen información de envío si compro de usted?	0
130	251	252	Hola. Me extendí al servicio de atención al cliente 3 veces.	Presioné el botón Pagar ahora 3 veces. ¿Que puedo hacer?	0
132	255	256	y la razón se debe a la razón de seguridad por la que suspendieron mi cuenta	cómo verificar el motivo de la disputa	0
134	137	258	cómo eliminar mensajes en la aplicación	cómo eliminar la orden paga	0
136	261	262	cómo subir evidencia en disputa	no sé cómo subir fotos	0
138	265	266	¿Puedo chatear con una persona? Robot eva no lo está entendiendo	puedo chatear con una persona real	1
140	269	270	Necesito un cambio puede enviar un correo electrónico porque no localizo mi correo electrónico y necesito comprar	necesito tu dirección de correo electrónico	0
142	273	274	¡Hola! Buenas noches. Necesito tu ayuda ... No puedo emitir un ticket para pagar una cuenta	Necesito tu ayuda Anna	0
144	277	278	por favor borre las cookies en su navegador?	Por favor dame tu correo electrónico de soporte para tu sitio	0
146	281	282	No sé el problema	no sé tu sitio web	0
148	285	286	y yo también	La tarifa de envío es demasiado alta para mí	0
150	289	290	cómo buscar buen vendedor	¿Cómo borrar mi historial de búsqueda?	0
152	293	294	he pagado por mi producto	He pagado	1
154	297	298	cómo vincular mi tarjeta?	No recibí un enlace de verificación en mi correo electrónico	0
156	301	302	cómo abrir una disputa	¿Cómo abrir el estuche?	0
158	305	306	no me está dando la respuesta correcta: necesito los diez artículos principales que vendí en 2017	No me responderás.	0
160	309	310	Quiero comprar algo producto pero no sé cómo pagar dinero	Quiero pagarle al vendedor	1
162	313	314	cómo dejar comentarios al vendedor	¿Cómo dejar un comentario anónimo?	0
164	317	318	¿Cómo veo el cupón?	¿Cómo obtengo un cupón?	0
166	321	322	cuando mi paga sea cancelada	¿Cuándo recibiré mi reembolso por el pedido cancelado?	0
168	325	326	Presenté mi apelación hace 4 días y no tuve ninguna respuesta	Envié dinero hace 3 días y el estado no cambió	0
170	329	330	Me cobraron por un artículo que pensé que había comprado pero nunca lo recibí y no puedo encontrar rastro de mis pedidos	Nunca he recibido el producto comprado	0
172	333	334	He ordenado con una dirección de correo electrónico incorrecta	He ingresado una dirección de entrega incorrecta	0
174	337	338	Quiero cambiar el tamaño	Quiero saber el tamaño en brasil	0
176	341	342	¿Cómo puedo informar al vendedor de fraude?	Recibí un correo electrónico con un aviso de que el vendedor es sospechoso de un problema de fraude.	0
178	345	346	incapaz de encontrar la dirección	incapaz de obtener respuesta del vendedor	0
180	349	350	No tengo un número de seguimiento. Estoy tratando de hacer un pedido	Estoy tratando de ordenar y no está funcionando	1
182	353	354	Si su pedido muestra 'Pedido cancelado', significa	Pagué un pedido pero sigue mostrando el mismo estado	0
184	357	358	leer mi pregunta antes de responder por favor	Quiero leer los comentarios escritos sobre mi pedido	0
